"Select purchase option", "Selecteer aankoopoptie"
"Return deal", "Return deal"
"Edit %1", "Bewerk %1"
"Save money with a return deal", "Bespaar geld met een return deal"
"Available return deals", "Beschikbare Return deals"
"Size", "Maat"
"Save %1 and reduce CO₂", "Bespaar %1 en verlaag CO₂"
"Reduce CO₂", "Verminder CO₂"
"View Item", "Bekijk artikel"
"Powered by It Goes Forward", "Mogelijk gemaakt door It Goes Forward"
"Close listing", "Sluit aanbieding"
"Add Return Deal to Cart", "Voeg Return Deal toe aan winkelwagen"
"What is a return deal?", "Wat is een Return deal?"
"%1 discount for a product which is in brand-new condition", "%1 korting op een product in gloednieuwe staat"
"Up to 40% less CO₂ emissions", "Tot 40% minder CO₂-uitstoot"
"Anonymous shipping label", "Anoniem verzendetiket"
"Sent directly from another customer", "Direct verzonden door een andere klant"
"Shipped from our warehouse", "Verzonden vanuit ons magazijn"
